cloudiness,country,date,max_temp,lat,lng,wind_speed,city_name
40,US,1631672514,78.96,36.4337,-99.3904,8.05,Woodward
8,ZM,1631672517,68.85,-15.6167,30.4167,2.75,Luangwa
2,BR,1631672519,73.83,-21.6403,-41.0511,17.27,São João da Barra
6,IR,1631672521,82.29,26.9581,56.2719,2.1,Qeshm
0,RU,1631672522,59.59,53.0452,158.6483,4.47,Petropavlovsk-Kamchatskiy
100,SB,1631672523,85.73,-9.4333,159.95,8.81,Honiara
29,AU,1631672525,64.76,-31.95,141.4333,5.46,Broken Hill
0,BW,1631672526,69.67,-20.4667,22.7167,5.28,Sehithwa
9,GW,1631672527,80.42,11.2833,-15.8333,9.69,Bubaque
55,TZ,1631672529,73.87,-5.2459,39.7666,8.7,Chake Chake
0,CL,1631672516,53.33,-29.9533,-71.3436,1.14,Coquimbo
20,US,1631672379,78.78,45.5234,-122.6762,1.01,Portland
20,US,1631672533,69.51,39.6478,-104.9878,0.0,Englewood
60,KZ,1631672535,56.79,48.6814,71.6433,4.88,Atasū
75,CA,1631672536,54.43,54.5163,-128.6035,9.22,Terrace
4,LT,1631672538,41.88,55.35,23.9,3.09,Dotnuva
98,CU,1631672539,74.53,21.9419,-79.17,5.41,Jatibonico
100,CA,1631672540,68.92,43.7501,-81.7165,14.97,Goderich
100,RU,1631672542,42.58,66.4167,112.4,11.05,Udachny
20,US,1631672544,65.03,45.0205,-93.218,1.99,Saint Anthony
0,RU,1631672545,53.98,57.2107,65.6077,8.95,Melioratorov
99,IN,1631672547,82.69,16.4833,81.8333,5.95,Rāzole
29,RE,1631672548,68.11,-21.0096,55.2707,4.23,Saint-Paul
27,CA,1631672550,52.34,47.5999,-53.2648,5.01,Bay Roberts
76,EC,1631672551,68.43,-0.9,-89.6,10.71,Puerto Baquerizo Moreno
99,ID,1631672552,80.85,-2.4177,115.2494,3.04,Amuntai
0,BR,1631672554,79.66,-9.0153,-42.6994,5.35,São Raimundo Nonato
0,AU,1631672555,71.71,-25.2986,152.8535,8.77,Hervey Bay
90,US,1631672295,67.21,46.8267,-100.8896,5.75,Mandan
100,TR,1631672558,55.29,40.7883,37.6017,2.89,Gürgentepe
78,AU,1631672559,82.45,-20.3167,118.5667,10.36,Port Hedland
40,CA,1631672527,53.58,60.8156,-115.7999,2.3,Hay River
1,ZA,1631672564,45.88,-29.1211,26.214,3.44,Bloemfontein
40,TO,1631672565,81.28,-18.65,-173.9833,9.22,Neiafu
0,NO,1631672566,53.01,63.6559,9.5683,10.36,Beian
100,TH,1631672568,78.91,15.9167,104.75,6.96,Amnat Charoen
60,RU,1631672569,43.29,54.8064,35.9278,10.13,Kondrovo
17,TZ,1631672570,58.15,-6.7167,36.3667,3.69,Kibakwe
100,TR,1631672572,58.41,38.8333,28.1667,3.91,Manisa Province
34,PE,1631672573,60.21,-16.6228,-72.7111,9.04,Camaná
75,TR,1631672574,57.11,40.2386,33.0322,4.61,Çubuk
83,RU,1631672576,34.88,61.05,41.3428,4.85,Solginskiy
